ts_utc,cpu_tempC,disk_free_bytes,throttled
2026-03-01T00:09:04.570+00:00,46.54,235406188544,throttled=0x0
2026-03-01T00:09:14.575+00:00,46.54,235406176256,throttled=0x0
2026-03-01T00:09:24.580+00:00,47.08,235406168064,throttled=0x0
2026-03-01T00:09:34.569+00:00,46.54,235406168064,throttled=0x0
2026-03-01T00:09:44.598+00:00,47.08,235406168064,throttled=0x0
2026-03-01T00:09:54.570+00:00,47.62,235406159872,throttled=0x0
2026-03-01T00:10:04.570+00:00,48.15,235406155776,throttled=0x0
2026-03-01T00:10:14.570+00:00,48.15,235406147584,throttled=0x0
2026-03-01T00:10:24.569+00:00,48.69,235406139392,throttled=0x0
2026-03-01T00:10:34.594+00:00,48.69,235406135296,throttled=0x0
2026-03-01T00:10:44.569+00:00,48.15,235406127104,throttled=0x0
2026-03-01T00:10:54.570+00:00,48.69,235495305216,throttled=0x0
2026-03-01T00:11:04.570+00:00,48.69,235495305216,throttled=0x0
2026-03-01T00:11:14.570+00:00,48.69,235495297024,throttled=0x0
2026-03-01T00:11:24.570+00:00,49.23,235406106624,throttled=0x0
2026-03-01T00:11:34.575+00:00,48.69,235406106624,throttled=0x0
2026-03-01T00:11:44.569+00:00,47.62,235406098432,throttled=0x0
2026-03-01T00:11:54.569+00:00,47.62,235406094336,throttled=0x0
2026-03-01T00:12:04.570+00:00,46.54,235406086144,throttled=0x0
2026-03-01T00:12:14.570+00:00,46.00,235406086144,throttled=0x0
2026-03-01T00:12:24.570+00:00,45.46,235406077952,throttled=0x0
2026-03-01T00:12:34.569+00:00,45.46,235406073856,throttled=0x0
2026-03-01T00:12:44.569+00:00,45.46,235406065664,throttled=0x0
2026-03-01T00:12:54.570+00:00,45.46,235406061568,throttled=0x0
2026-03-01T00:13:04.570+00:00,45.46,235406057472,throttled=0x0
2026-03-01T00:13:14.570+00:00,44.39,235406053376,throttled=0x0
2026-03-01T00:13:24.570+00:00,44.39,235406045184,throttled=0x0
2026-03-01T00:13:34.570+00:00,44.39,235406041088,throttled=0x0
2026-03-01T00:13:44.569+00:00,44.39,235406032896,throttled=0x0
2026-03-01T00:13:54.570+00:00,44.39,235406032896,throttled=0x0
