window_start_utc,window_end_utc,n_samples,bmp_tempC_mean,bmp_pressurePa_mean,bmp_altitudeM_est_mean,euler_heading_deg_mean,euler_roll_deg_mean,euler_pitch_deg_mean,quat_w_mean,quat_x_mean,quat_y_mean,quat_z_mean,accel_x_mps2_mean,accel_y_mps2_mean,accel_z_mps2_mean,linacc_x_mps2_mean,linacc_y_mps2_mean,linacc_z_mps2_mean,gravity_x_mps2_mean,gravity_y_mps2_mean,gravity_z_mps2_mean,gyro_x_rads_mean,gyro_y_rads_mean,gyro_z_rads_mean,mag_x_uT_mean,mag_y_uT_mean,mag_z_uT_mean,calib_sys_mode,calib_gyro_mode,calib_accel_mode,calib_mag_mode
2026-03-07T21:37:33.585+00:00,2026-03-07T21:42:40.795+00:00,30,22.4067,101359.14,-2.9038,359.937500,4.101852,-2.025463,0.999172,0.016841,-0.034986,-0.000002,0.682917,0.331667,9.407083,-0.017273,-0.010455,-0.303636,0.705652,0.350000,9.770000,-0.000145,-0.000109,0.000145,25.520833,7.745833,-46.743750,2,3,0,0
2026-03-07T21:42:40.839+00:00,2026-03-07T21:43:40.866+00:00,217,22.6880,101363.09,-3.1969,359.937500,4.125000,-2.000000,0.999146,0.017944,-0.036499,0.000042,-1.108087,0.330437,9.459891,-0.020966,-0.011136,-0.303466,0.710000,0.350000,9.762928,0.000292,-0.000101,0.000055,25.629032,7.699309,-46.794355,2,3,0,0
2026-03-07T21:43:40.998+00:00,2026-03-07T21:44:41.758+00:00,182,22.9022,101369.13,-3.6784,359.937500,4.125000,-2.000000,0.986646,0.017944,-0.036499,0.000000,-3.290970,0.330364,9.460970,-0.021146,-0.011210,-0.302611,0.710000,0.350000,9.762050,0.000198,0.000258,0.000102,25.586195,7.834135,-46.811470,2,3,0,0
2026-03-07T21:44:41.857+00:00,2026-03-07T21:45:42.741+00:00,61,22.9259,101373.69,-4.1357,359.937500,4.125000,-2.000000,0.999146,0.017944,0.003501,0.000000,-5.871200,0.330600,9.460200,-0.020175,-0.013509,-0.303860,0.710000,0.350000,9.770000,-0.000107,0.000250,0.000143,25.623975,7.834016,-46.811475,2,3,0,0
2026-03-07T21:45:43.523+00:00,2026-03-07T21:46:43.739+00:00,61,23.1144,101378.53,-4.5087,359.937500,4.125000,-2.000000,0.999146,0.017944,-0.036499,0.000000,0.682745,0.327843,9.465686,-0.020192,-0.014231,-0.303846,0.710000,0.350000,9.770000,0.000018,0.000286,0.000268,25.508197,7.900615,-46.873975,2,3,0,0
2026-03-07T21:46:43.755+00:00,2026-03-07T21:47:44.749+00:00,61,23.2859,101382.83,-4.7845,359.937500,4.125000,-2.000000,0.999146,0.017944,-0.036644,0.000000,-10.815789,0.328596,9.465965,-0.018269,-0.013462,-0.302500,0.710000,0.350000,9.770000,0.000215,-0.000018,-0.000286,25.471311,7.842213,-46.739754,2,3,0,0
2026-03-07T21:47:44.768+00:00,2026-03-07T21:48:45.740+00:00,61,23.4271,101382.89,-4.7596,359.937500,4.125000,-2.000000,0.999146,0.017944,-0.036499,0.000000,0.680345,0.327069,9.463966,-0.019828,-0.015000,-0.304310,0.710000,0.350000,9.770000,0.000179,0.000197,-0.000072,25.460041,8.053279,-46.766393,2,3,0,0
2026-03-07T21:48:45.756+00:00,2026-03-07T21:49:46.741+00:00,61,23.5477,101382.76,-4.8500,324.007675,-31.804825,-2.000000,0.999146,0.017944,-0.002016,0.000000,0.681695,0.328814,9.466441,-0.023279,-0.013279,-0.300328,0.710000,0.350000,9.770000,0.000054,-0.000179,-0.000072,25.399590,7.837090,-46.947746,2,3,0,0
2026-03-07T21:49:46.755+00:00,2026-03-07T21:50:47.743+00:00,61,23.6508,101381.02,-4.6293,359.937500,4.125000,-2.000000,0.999146,0.017944,-0.036499,0.000000,0.677119,0.328305,9.460678,-0.023333,-0.017544,-0.302632,0.710000,0.350000,9.770000,-0.000036,-0.000161,-0.000036,25.437500,7.962090,-46.694672,2,3,0,0
2026-03-07T21:50:47.758+00:00,2026-03-07T21:51:48.741+00:00,61,23.7382,101377.07,-4.3818,359.937500,4.125000,-2.000000,0.999146,0.017944,-0.036499,0.000000,-5.281455,0.326545,9.466000,-0.026250,-0.016429,-0.297679,-5.141429,0.350000,9.595357,0.000036,0.002378,-0.000000,25.432377,7.889344,-46.780738,2,3,0,0
2026-03-07T21:51:48.756+00:00,2026-03-07T21:52:48.757+00:00,60,23.8212,101372.82,-4.0217,359.937500,4.125000,-2.000000,0.999146,0.017944,-0.036499,0.000000,0.680175,0.326667,9.445088,-0.023793,-0.017759,-0.299483,0.710000,0.350000,9.747931,0.000073,-0.000109,0.002345,25.547917,7.905208,-46.744792,2,3,0,0
2026-03-07T21:52:48.770+00:00,2026-03-07T21:53:49.740+00:00,61,23.8943,101371.24,-3.8830,324.007675,4.125000,-2.000000,0.999146,0.017944,-0.036471,0.000000,0.679138,0.327241,9.464310,-0.026140,-0.014912,-0.301404,0.710000,0.350000,9.770000,0.000107,0.000161,0.000107,25.484631,-25.769467,-13.060451,2,3,0,0
2026-03-07T21:53:49.755+00:00,2026-03-07T21:54:50.742+00:00,61,23.9668,101372.16,-4.0352,321.295991,-34.516509,-2.000000,0.999146,0.017944,-0.036438,0.000000,0.677167,0.327833,9.466500,-0.024286,-0.016964,-0.299821,0.710000,0.350000,9.770000,-0.000054,0.000018,0.000143,25.474385,7.681352,-46.820697,2,3,0,0
2026-03-07T21:54:50.757+00:00,2026-03-07T21:55:51.744+00:00,61,24.0297,101381.68,-4.7522,359.937500,4.125000,-2.000000,0.999146,0.017944,-0.036438,0.000000,-4.975000,0.327069,9.464828,-0.025167,-0.016000,-0.302000,-5.141429,0.350000,9.770000,-0.000197,-0.000072,-0.000179,25.741803,7.776639,-46.809426,2,3,0,0
2026-03-07T21:55:51.759+00:00,2026-03-07T21:56:52.748+00:00,61,24.0934,101390.87,-5.5115,359.937500,4.125000,-2.000000,0.999146,0.017944,-0.036438,0.000000,-4.877458,0.327119,9.468814,-0.024667,-0.014833,-0.293667,-4.843898,0.350000,9.770000,0.000072,-0.000018,-0.000054,25.629098,7.651639,-46.773566,2,3,0,0
2026-03-07T21:56:52.762+00:00,2026-03-07T21:57:53.741+00:00,61,24.1563,101396.11,-5.9809,359.937500,-30.586864,-2.000000,0.999146,0.017944,-0.036438,0.000000,-4.785333,0.326667,9.465000,-0.025246,-0.015082,-0.301639,0.710000,0.350000,9.770000,-0.000089,-0.000125,-0.000107,25.502049,7.880123,-46.896516,2,3,0,0
2026-03-07T21:57:53.756+00:00,2026-03-07T21:58:54.739+00:00,61,24.2110,101394.48,-5.6899,359.937500,4.125000,-2.000000,0.999146,0.017944,-0.036438,0.000000,-4.785167,0.325833,9.467167,-0.025254,-0.018475,-0.296610,0.710000,0.350000,9.749016,-0.000018,0.000125,0.000089,25.566598,7.657787,-46.764344,2,3,0,0
