window_start_utc,window_end_utc,n_samples,bmp_tempC_mean,bmp_pressurePa_mean,bmp_altitudeM_est_mean
2026-03-11T23:36:24.764+00:00,2026-03-11T23:38:06.520+00:00,21,29.0746,100411.41,76.3654
2026-03-11T23:38:06.526+00:00,2026-03-11T23:39:06.898+00:00,142,29.2568,100411.77,76.3100
2026-03-11T23:39:06.901+00:00,2026-03-11T23:40:07.925+00:00,61,29.0245,100410.12,76.4055
2026-03-11T23:40:07.941+00:00,2026-03-11T23:41:08.892+00:00,61,29.0136,100413.58,76.2317
2026-03-11T23:41:08.900+00:00,2026-03-11T23:42:09.879+00:00,61,29.0187,100408.87,76.5245
2026-03-11T23:42:09.887+00:00,2026-03-11T23:43:10.883+00:00,61,29.0127,100401.98,77.0740
2026-03-11T23:43:10.886+00:00,2026-03-11T23:44:11.883+00:00,61,29.0018,100399.27,77.3532
2026-03-11T23:44:11.885+00:00,2026-03-11T23:45:12.882+00:00,61,28.9843,100400.38,77.1885
2026-03-11T23:45:12.884+00:00,2026-03-11T23:46:13.883+00:00,61,28.9606,100403.33,77.0059
2026-03-11T23:46:13.885+00:00,2026-03-11T23:47:14.880+00:00,61,28.9386,100405.35,76.8394
2026-03-11T23:47:14.882+00:00,2026-03-11T23:48:15.884+00:00,61,28.9189,100404.55,76.8217
2026-03-11T23:48:15.886+00:00,2026-03-11T23:49:16.881+00:00,61,28.9046,100407.83,76.5651
2026-03-11T23:49:16.883+00:00,2026-03-11T23:50:17.885+00:00,61,28.8867,100412.98,76.2133
2026-03-11T23:50:17.887+00:00,2026-03-11T23:51:18.883+00:00,61,28.8698,100417.79,75.7477
2026-03-11T23:51:18.885+00:00,2026-03-11T23:52:19.880+00:00,61,28.8535,100417.33,75.8073
2026-03-11T23:52:19.890+00:00,2026-03-11T23:53:20.884+00:00,61,28.8405,100415.14,76.0157
2026-03-11T23:53:20.886+00:00,2026-03-11T23:54:21.882+00:00,61,28.8318,100413.14,76.1406
