ts_utc,event,runtime_s,coincidence_flag,adc_12b,sipm_mV,deadtime_s,detector_name,raw
2026-03-20T19:58:44.875+00:00,315,150.864074,1,4068,1000.0,0.06919,AxLab,315	150.864074	1	4068	1000.0	0.069190	AxLab
2026-03-20T19:59:02.721+00:00,339,168.71597,1,4091,1000.0,0.077365,AxLab,339	168.715970	1	4091	1000.0	0.077365	AxLab
2026-03-20T19:59:56.778+00:00,346,170.97301,1,4069,1000.0,0.079736,AxLab,346	170.973010	1	4069	1000.0	0.079736	AxLab
2026-03-20T20:00:02.427+00:00,356,176.62149,1,4074,1000.0,0.083128,AxLab,356	176.621490	1	4074	1000.0	0.083128	AxLab
2026-03-20T20:00:03.031+00:00,357,177.223326,1,4068,1000.0,0.083486,AxLab,357	177.223326	1	4068	1000.0	0.083486	AxLab
2026-03-20T20:00:04.902+00:00,361,179.096905,1,4058,1000.0,0.085022,AxLab,361	179.096905	1	4058	1000.0	0.085022	AxLab
2026-03-20T20:00:09.126+00:00,370,183.323225,1,4095,1000.0,0.088159,AxLab,370	183.323225	1	4095	1000.0	0.088159	AxLab
2026-03-20T20:00:14.328+00:00,377,188.526818,1,4089,1000.0,0.090507,AxLab,377	188.526818	1	4089	1000.0	0.090507	AxLab
2026-03-20T20:00:16.768+00:00,382,190.960288,1,4057,1000.0,0.092344,AxLab,382	190.960288	1	4057	1000.0	0.092344	AxLab
2026-03-20T20:00:20.972+00:00,388,195.167964,1,4033,1000.0,0.094376,AxLab,388	195.167964	1	4033	1000.0	0.094376	AxLab
2026-03-20T20:00:24.513+00:00,398,198.713906,1,4017,1000.0,0.097833,AxLab,398	198.713906	1	4017	1000.0	0.097833	AxLab
2026-03-20T20:00:24.551+00:00,399,198.75256,1,4027,1000.0,0.098187,AxLab,399	198.752560	1	4027	1000.0	0.098187	AxLab
2026-03-20T20:00:30.078+00:00,410,204.277674,1,4047,1000.0,0.101942,AxLab,410	204.277674	1	4047	1000.0	0.101942	AxLab
2026-03-20T20:00:30.903+00:00,412,205.101217,1,4084,1000.0,0.102632,AxLab,412	205.101217	1	4084	1000.0	0.102632	AxLab
2026-03-20T20:00:35.357+00:00,431,209.553552,1,4041,1000.0,0.109012,AxLab,431	209.553552	1	4041	1000.0	0.109012	AxLab
2026-03-20T20:00:37.593+00:00,437,211.788717,1,4080,1000.0,0.111074,AxLab,437	211.788717	1	4080	1000.0	0.111074	AxLab
2026-03-20T20:00:43.672+00:00,452,217.861244,1,4025,1000.0,0.11621,AxLab,452	217.861244	1	4025	1000.0	0.116210	AxLab
2026-03-20T20:00:48.031+00:00,466,222.217708,1,4025,1000.0,0.12093,AxLab,466	222.217708	1	4025	1000.0	0.120930	AxLab
2026-03-20T20:00:48.136+00:00,467,222.323188,1,4048,1000.0,0.121286,AxLab,467	222.323188	1	4048	1000.0	0.121286	AxLab
2026-03-20T20:00:49.185+00:00,469,223.373029,1,4018,1000.0,0.121976,AxLab,469	223.373029	1	4018	1000.0	0.121976	AxLab
2026-03-20T20:00:55.339+00:00,485,229.531119,1,4037,1000.0,0.127574,AxLab,485	229.531119	1	4037	1000.0	0.127574	AxLab
2026-03-20T20:01:02.056+00:00,495,236.246617,1,4081,1000.0,0.131042,AxLab,495	236.246617	1	4081	1000.0	0.131042	AxLab
2026-03-20T20:01:14.835+00:00,523,249.022822,1,4064,1000.0,0.140478,AxLab,523	249.022822	1	4064	1000.0	0.140478	AxLab
2026-03-20T20:01:14.910+00:00,524,249.097779,1,4029,1000.0,0.140842,AxLab,524	249.097779	1	4029	1000.0	0.140842	AxLab
2026-03-20T20:01:20.591+00:00,541,254.781753,1,4083,1000.0,0.146542,AxLab,541	254.781753	1	4083	1000.0	0.146542	AxLab
2026-03-20T20:01:30.235+00:00,560,264.423032,1,4039,1000.0,0.153008,AxLab,560	264.423032	1	4039	1000.0	0.153008	AxLab
2026-03-20T20:01:31.369+00:00,561,265.553128,1,4040,1000.0,0.153363,AxLab,561	265.553128	1	4040	1000.0	0.153363	AxLab
2026-03-20T20:01:32.927+00:00,564,267.1128,1,4016,1000.0,0.154399,AxLab,564	267.112800	1	4016	1000.0	0.154399	AxLab
2026-03-20T20:01:33.098+00:00,565,267.28261,1,4048,1000.0,0.154754,AxLab,565	267.282610	1	4048	1000.0	0.154754	AxLab
2026-03-20T20:01:37.847+00:00,577,272.037225,1,4058,1000.0,0.158827,AxLab,577	272.037225	1	4058	1000.0	0.158827	AxLab
2026-03-20T20:01:38.196+00:00,579,272.376097,1,3992,1000.0,0.159533,AxLab,579	272.376097	1	3992	1000.0	0.159533	AxLab
2026-03-20T20:01:43.899+00:00,587,278.087999,1,3992,1000.0,0.162277,AxLab,587	278.087999	1	3992	1000.0	0.162277	AxLab
2026-03-20T20:01:46.170+00:00,592,280.367787,1,4047,1000.0,0.163994,AxLab,592	280.367787	1	4047	1000.0	0.163994	AxLab
2026-03-20T20:01:48.436+00:00,600,282.616983,1,4095,1000.0,0.166668,AxLab,600	282.616983	1	4095	1000.0	0.166668	AxLab
2026-03-20T20:01:52.588+00:00,605,286.780251,1,4072,1000.0,0.168367,AxLab,605	286.780251	1	4072	1000.0	0.168367	AxLab
2026-03-20T20:01:55.491+00:00,610,289.690615,1,4086,1000.0,0.170186,AxLab,610	289.690615	1	4086	1000.0	0.170186	AxLab
2026-03-20T20:01:57.290+00:00,614,291.480936,1,4003,1000.0,0.171568,AxLab,614	291.480936	1	4003	1000.0	0.171568	AxLab
2026-03-20T20:02:01.905+00:00,623,296.095272,1,4009,1000.0,0.174638,AxLab,623	296.095272	1	4009	1000.0	0.174638	AxLab
2026-03-20T20:02:07.277+00:00,631,301.463206,1,4043,1000.0,0.177482,AxLab,631	301.463206	1	4043	1000.0	0.177482	AxLab
2026-03-20T20:02:11.601+00:00,646,305.800249,1,3997,1000.0,0.182462,AxLab,646	305.800249	1	3997	1000.0	0.182462	AxLab
2026-03-20T20:02:12.106+00:00,648,306.289582,1,4060,1000.0,0.183295,AxLab,648	306.289582	1	4060	1000.0	0.183295	AxLab
2026-03-20T20:02:14.561+00:00,653,308.762541,1,4072,1000.0,0.185009,AxLab,653	308.762541	1	4072	1000.0	0.185009	AxLab
2026-03-20T20:02:14.605+00:00,654,308.797725,1,4074,1000.0,0.185352,AxLab,654	308.797725	1	4074	1000.0	0.185352	AxLab
2026-03-20T20:02:18.617+00:00,665,312.810245,1,4088,1000.0,0.189054,AxLab,665	312.810245	1	4088	1000.0	0.189054	AxLab
2026-03-20T20:02:20.580+00:00,669,314.774295,1,4083,1000.0,0.1904,AxLab,669	314.774295	1	4083	1000.0	0.190400	AxLab
2026-03-20T20:02:22.438+00:00,673,316.63952,1,4079,1000.0,0.191744,AxLab,673	316.639520	1	4079	1000.0	0.191744	AxLab
2026-03-20T20:02:24.730+00:00,676,318.932788,1,4061,1000.0,0.192767,AxLab,676	318.932788	1	4061	1000.0	0.192767	AxLab
2026-03-20T20:02:25.431+00:00,678,319.630207,1,4041,1000.0,0.193453,AxLab,678	319.630207	1	4041	1000.0	0.193453	AxLab
