model,term,coef,std_err,p_value,ci95_low,ci95_high
pressure_only,const,2.6147704498424154,0.004809803039778203,0.0,2.6053434091117187,2.624197490573112
pressure_only,dP,-0.0013267491788634352,0.0002046870903706364,9.061008987760397e-11,-0.001727928504090178,-0.0009255698536366926
pressure_only,sess_38,-0.0027272992566992563,0.00824733273034147,0.740879682820517,-0.018891774376686925,0.013437175863288414
pressure_only,sess_39,0.01513747465919935,0.005678214773717657,0.00767856701276332,0.00400837820622949,0.026266571112169207
pressure_only,sess_40,0.017519001754422475,0.009279865561705763,0.059045981253158276,-0.0006692005278943793,0.035707204036739326
pressure_only,sess_41,0.012598333387525687,0.007144834382289966,0.07785351701247199,-0.0014052846772661318,0.026601951452317505
pressure_only,sess_42,0.008069369329097215,0.0075144855245711985,0.28289355203902666,-0.00665875166140991,0.02279749031960434
atmospheric,const,2.6154666829362423,0.005316443972792965,0.0,2.605046644223743,2.6258867216487416
atmospheric,dP,-0.0012941156178480954,0.00023649699040810665,4.4494143921954206e-08,-0.001757641201500099,-0.0008305900341960917
atmospheric,dT,0.0007903576931289347,0.0026121130781649564,0.7622144755629517,-0.004329289863620439,0.0059100052498783084
atmospheric,sess_38,-0.0038599019363535457,0.008874843293628008,0.6636159909738557,-0.021254275160301272,0.01353447128759418
atmospheric,sess_39,0.014411610805622478,0.006160114800583927,0.019309385030763244,0.0023380076558458442,0.026485213955399114
atmospheric,sess_40,0.01688071641612676,0.009456347092221085,0.0742418186263877,-0.0016533833099366332,0.03541481614219015
atmospheric,sess_41,0.011630318936879509,0.007691583691789119,0.13051255079576365,-0.003444908083102792,0.02670554595686181
atmospheric,sess_42,0.007120685291338559,0.007954992883701151,0.3707221333308788,-0.008470814257988124,0.022712184840665242
diurnal,const,2.615063854059733,0.005334218266541221,0.0,2.6046089783716364,2.6255187297478293
diurnal,dP,-0.0013009330119798496,0.00023810529438008732,4.663431894245493e-08,-0.001767610813493128,-0.0008342552104665711
diurnal,dT,0.0004359617155029567,0.0026143258427734246,0.8675598750866835,-0.004688022780185279,0.005559946211191193
diurnal,sin24,-0.00515692774449814,0.002473998535192102,0.03711919877666977,-0.01000587577127951,-0.00030797971771677046
diurnal,cos24,0.0006180143581950076,0.0024270090284590766,0.7990009137845566,-0.004138835927738329,0.0053748646441283444
diurnal,sess_38,-0.0031847050092928195,0.008764842791742437,0.7163434999755545,-0.0203634812112635,0.01399407119267786
diurnal,sess_39,0.014941747181057058,0.0061887968553001995,0.01576453213122591,0.0028119282370339237,0.027071566125080194
diurnal,sess_40,0.01683571422475642,0.009176884546241808,0.06656818062507003,-0.0011506489761597197,0.03482207742567256
diurnal,sess_41,0.011206544463957814,0.007729429475866411,0.14709922929196484,-0.003942858929782658,0.026355947857698285
diurnal,sess_42,0.008035429883407559,0.007879487188932825,0.30782760670354614,-0.007408081223545531,0.02347894099036065
poisson_diurnal,const,2.618486716163749,0.005902883358972752,0.0,2.6069172773752216,2.6300561549522765
poisson_diurnal,dP,-0.0012759903004414463,0.00024096909885687012,1.1885725845633707e-07,-0.0017482810555879836,-0.000803699545294909
poisson_diurnal,dT,0.0007353209727690591,0.0030182141086660804,0.8075190675241195,-0.00518026997784712,0.006650911923385238
poisson_diurnal,sin24,-0.005129127533739848,0.0025377813449774006,0.04326869425399205,-0.010103087570533173,-0.0001551674969465242
poisson_diurnal,cos24,0.0009765585490237186,0.002611945612955571,0.7084923653422104,-0.004142760781946596,0.006095877879994033
poisson_diurnal,sess_38,-0.0031240242557133147,0.00922841282815454,0.7349695662815383,-0.021211381033363636,0.014963332521937007
poisson_diurnal,sess_39,0.015369790734624434,0.0065448830204680505,0.018855905439234297,0.00254205573147933,0.028197525737769537
poisson_diurnal,sess_40,0.017327057250687197,0.009544116517704345,0.06945171162692905,-0.0013790673882671557,0.03603318188964155
poisson_diurnal,sess_41,0.01054396516350573,0.009019326923531234,0.24238701479148783,-0.0071335907714079345,0.028221521098419397
poisson_diurnal,sess_42,0.007764507310962454,0.00878882360904004,0.37699188984156395,-0.00946127042923136,0.024990285051156268
