session,run_number,run_label,run_date,local_hour,corrected_rate_mean,corrected_rate_sem,n
1,1,Run 1 (2026-03-01),2026-03-01,0,13.631953580322154,0.252518,18
1,1,Run 1 (2026-03-01),2026-03-01,1,13.68937167652479,0.292619,18
1,1,Run 1 (2026-03-01),2026-03-01,2,13.959607609451371,0.255777,18
1,1,Run 1 (2026-03-01),2026-03-01,3,13.79179170924743,0.272606,18
1,1,Run 1 (2026-03-01),2026-03-01,4,13.756910073937522,0.312651,18
1,1,Run 1 (2026-03-01),2026-03-01,5,13.574230538217357,0.275394,18
1,1,Run 1 (2026-03-01),2026-03-01,6,13.298157298900074,0.228987,12
1,1,Run 1 (2026-03-01),2026-03-01,7,13.97791614439417,0.297079,12
1,1,Run 1 (2026-03-01),2026-03-01,8,14.347732895570948,0.336001,12
1,1,Run 1 (2026-03-01),2026-03-01,9,13.464347943549464,0.35744,12
1,1,Run 1 (2026-03-01),2026-03-01,10,13.927720437974836,0.172651,12
1,1,Run 1 (2026-03-01),2026-03-01,11,14.066066251787971,0.277447,12
1,1,Run 1 (2026-03-01),2026-03-01,12,13.802033526126925,0.297482,12
1,1,Run 1 (2026-03-01),2026-03-01,13,13.767432934747283,0.394524,12
1,1,Run 1 (2026-03-01),2026-03-01,14,13.538743213123867,0.276484,12
1,1,Run 1 (2026-03-01),2026-03-01,15,13.499975445220743,0.311354,12
1,1,Run 1 (2026-03-01),2026-03-01,16,13.984109295733468,0.289874,12
1,1,Run 1 (2026-03-01),2026-03-01,17,13.896788181029686,0.28843,12
1,1,Run 1 (2026-03-01),2026-03-01,18,13.914389934246529,0.22949,12
1,1,Run 1 (2026-03-01),2026-03-01,19,14.267201672251339,0.31653,17
1,1,Run 1 (2026-03-01),2026-03-01,20,13.37662151522723,0.29378,18
1,1,Run 1 (2026-03-01),2026-03-01,21,13.016140689839188,0.249701,18
1,1,Run 1 (2026-03-01),2026-03-01,22,13.575455426927348,0.300419,18
1,1,Run 1 (2026-03-01),2026-03-01,23,13.560648520696276,0.28027,18
2,2,Run 2 (2026-03-07),2026-03-07,0,13.734027662461152,0.305316,12
2,2,Run 2 (2026-03-07),2026-03-07,1,13.543643053855389,0.340891,12
2,2,Run 2 (2026-03-07),2026-03-07,2,13.611954576085912,0.203674,6
2,2,Run 2 (2026-03-07),2026-03-07,3,13.24341035128453,0.254381,12
2,2,Run 2 (2026-03-07),2026-03-07,4,13.690822761452951,0.365447,12
2,2,Run 2 (2026-03-07),2026-03-07,5,12.841019982820084,0.327597,12
2,2,Run 2 (2026-03-07),2026-03-07,6,14.461802937482124,0.343029,12
2,2,Run 2 (2026-03-07),2026-03-07,7,13.830402529266115,0.264583,12
2,2,Run 2 (2026-03-07),2026-03-07,8,13.96634394470272,0.392614,12
2,2,Run 2 (2026-03-07),2026-03-07,9,13.335749205721047,0.455802,7
2,2,Run 2 (2026-03-07),2026-03-07,10,13.281893019541569,0.650513,6
2,2,Run 2 (2026-03-07),2026-03-07,11,13.507978852880585,0.392513,6
2,2,Run 2 (2026-03-07),2026-03-07,12,13.72833179016257,0.518637,6
2,2,Run 2 (2026-03-07),2026-03-07,13,14.323419696296893,0.738172,6
2,2,Run 2 (2026-03-07),2026-03-07,14,13.317850015922668,0.519443,6
2,2,Run 2 (2026-03-07),2026-03-07,15,14.054641910324058,0.528165,6
2,2,Run 2 (2026-03-07),2026-03-07,16,13.866045495427937,0.241686,7
2,2,Run 2 (2026-03-07),2026-03-07,17,13.621701058123072,0.215325,12
2,2,Run 2 (2026-03-07),2026-03-07,18,13.34092130665744,0.227872,12
2,2,Run 2 (2026-03-07),2026-03-07,19,14.134811206653227,0.346321,12
2,2,Run 2 (2026-03-07),2026-03-07,20,13.82959637488626,0.36041,12
2,2,Run 2 (2026-03-07),2026-03-07,21,13.635896453922376,0.486348,12
2,2,Run 2 (2026-03-07),2026-03-07,22,13.61317241667548,0.361455,12
2,2,Run 2 (2026-03-07),2026-03-07,23,13.599356259814586,0.373402,12
3,3,Run 3 (2026-03-11),2026-03-11,0,13.728123510845935,0.138395,48
3,3,Run 3 (2026-03-11),2026-03-11,1,14.55523038912983,0.184149,48
3,3,Run 3 (2026-03-11),2026-03-11,2,13.92788516510013,0.191681,48
3,3,Run 3 (2026-03-11),2026-03-11,3,13.93628944946841,0.171237,48
